OBJECTID,DruhNehody,HlavniPricina,Zavineni,Datum,Den,DenNoc,Alkohol,Usmrceno,Tezce,Lehce,StavPovrchu,Pocasi,SpecifikaceMista,DruhVozidla,Smyk,Skoda,X,Y,x,y
2706,Srážka s pevnou překážkou,Nesprávný způsob jízdy,Řidičem motorového vozidla,8/1/2018,Středa,Den,Ne,0,0,0,"Suchý, neznečištěný",Neztížené,Žádné,Nákladní automobil,Ne,0,16.6182086810001,49.197533208,1849930.5282652846,6308445.354468105
2707,Srážka s jedoucím nekolejovým vozidlem,Nesprávné předjíždění,Řidičem motorového vozidla,8/2/2018,Čtvrtek,Den,Ne,0,1,0,"Suchý, neznečištěný",Neztížené,Žádné,Nákladní automobil,Ne,5000,16.597336677,49.2290167350001,1847607.0674081682,6313810.4614353385
2709,Srážka s jedoucím nekolejovým vozidlem,Nedání přednosti v jizdě,Řidičem motorového vozidla,8/2/2018,Čtvrtek,Den,Ne,0,0,1,"Suchý, neznečištěný",Neztížené,Žádné,Osobní automobil,Ne,10000,16.5997036790001,49.2157441160001,1847870.5608655177,6311548.25816439
2710,Havárie,Nedání přednosti v jizdě,Řidičem motorového vozidla,8/2/2018,Čtvrtek,Den,Ne,0,0,1,"Suchý, neznečištěný",Neztížené,Žádné,Osobní automobil,Ne,0,16.5707376780001,49.2111658870001,1844646.0803838787,6310768.079480943
2712,Srážka s pevnou překážkou,Nesprávný způsob jízdy,Řidičem motorového vozidla,8/2/2018,Čtvrtek,Noc,Ne,0,0,0,"Suchý, neznečištěný",Neztížené,Žádné,Osobní automobil,Ne,40000,16.5773266900001,49.200122336,1845379.5658445505,6308886.438782921
2714,Jiný druh nehody,Nedání přednosti v jizdě,Řidičem motorového vozidla,8/3/2018,Pátek,Den,Ne,0,0,1,"Suchý, neznečištěný",Neztížené,Žádné,Osobní automobil,Ne,0,16.60993568,49.210210841,1849009.58200663,6310605.338641276
2715,Srážka s jedoucím nekolejovým vozidlem,Nedání přednosti v jizdě,Řidičem nemotorového vozidla,8/3/2018,Pátek,Den,Ne,0,0,1,"Suchý, neznečištěný",Neztížené,Přechod pro chodce nebo v jeho blízkosti,Jízdní kolo,Ne,0,16.6264606840001,49.2023704550001,1850849.1370372686,6309269.447473019
2718,"Srážka s vozidlem zaparkovaným, odstaveným",Nesprávný způsob jízdy,Řidičem motorového vozidla,8/4/2018,Sobota,Noc,Nezjišťováno,0,0,0,"Suchý, neznečištěný",Neztížené,Přechod pro chodce nebo v jeho blízkosti,Osobní automobil,Ne,1000,16.5967316800001,49.2146840660001,1847539.7194501986,6311367.607995042
2721,"Srážka s vozidlem zaparkovaným, odstaveným",Nesprávný způsob jízdy,Řidičem motorového vozidla,8/5/2018,Neděle,Noc,Nezjišťováno,0,0,0,"Suchý, neznečištěný",Neztížené,Přechod pro chodce nebo v jeho blízkosti,"Nezjištěno, řidič ujel",Ne,0,16.595721686,49.1949500710001,1847427.2874324128,6308005.313789978
2725,Srážka s jedoucím nekolejovým vozidlem,Nepřiměřená rychlost jízdy,Řidičem nemotorového vozidla,8/5/2018,Neděle,Den,Pod vlivem alkoholu,0,0,1,"Suchý, neznečištěný",Neztížené,Přechod pro chodce nebo v jeho blízkosti,Jízdní kolo,Ne,0,16.5994466770001,49.215464103,1847841.9515337436,6311500.53891058
2728,Havárie,Nesprávný způsob jízdy,Řidičem motorového vozidla,8/6/2018,Pondělí,Noc,Ne,0,0,0,"Suchý, neznečištěný",Neztížené,Žádné,Osobní automobil,Ne,50000,16.673950679,49.2045205650001,1856135.6990984415,6309635.774805559
2729,Srážka s pevnou překážkou,Nesprávný způsob jízdy,Řidičem motorového vozidla,8/6/2018,Pondělí,Noc,Ne,0,0,2,"Suchý, neznečištěný",Neztížené,Žádné,Nákladní automobil,Ne,90000,16.659069684,49.1969051730001,1854479.1543125445,6308338.365791488
2732,Jiný druh nehody,Nezaviněná řidičem,Závadou komunikace,8/6/2018,Pondělí,Den,Nezjišťováno,0,0,0,"Suchý, neznečištěný",Neztížené,Zastávka MHD,Trolejbus,Ne,30000,16.5654016820001,49.19296597,1844052.0800262857,6307667.335261109
2733,Havárie,Nesprávný způsob jízdy,Řidičem nemotorového vozidla,8/6/2018,Pondělí,Den,Ne,0,0,1,"Suchý, neznečištěný",Neztížené,Přechod pro chodce nebo v jeho blízkosti,Jízdní kolo,Ne,3000,16.553861683,49.2205063420001,1842767.4532138465,6312359.868564825
2734,"Srážka s vozidlem zaparkovaným, odstaveným",Nesprávný způsob jízdy,Řidičem motorového vozidla,8/3/2018,Pátek,Den,Nezjišťováno,0,0,0,"Suchý, neznečištěný",Neztížené,Přechod pro chodce nebo v jeho blízkosti,Osobní automobil,Ne,0,16.6124866800001,49.226769636,1849293.5580276481,6313427.42009037
2735,"Srážka s vozidlem zaparkovaným, odstaveným",Nesprávný způsob jízdy,Řidičem motorového vozidla,8/5/2018,Neděle,Noc,Nezjišťováno,0,0,0,"Suchý, neznečištěný",Neztížené,Přechod pro chodce nebo v jeho blízkosti,"Nezjištěno, řidič ujel",Ne,0,16.629893682,49.223445482,1851231.2966265224,6312860.815487527
2738,"Srážka s vozidlem zaparkovaným, odstaveným",Nesprávný způsob jízdy,Řidičem motorového vozidla,8/6/2018,Pondělí,Den,Ne,0,0,1,"Suchý, neznečištěný",Neztížené,Přechod pro chodce nebo v jeho blízkosti,Motocykl,Ne,0,16.659157684,49.2065416630001,1854488.9504277348,6309980.136102012
2747,Havárie,Nesprávný způsob jízdy,Řidičem motorového vozidla,8/7/2018,Úterý,Noc,Nezjišťováno,0,0,0,"Suchý, neznečištěný",Neztížené,Žádné,"Nezjištěno, řidič ujel",Ne,0,16.643217683,49.1948720660001,1852714.5176331715,6307992.025896326
2751,Srážka s jedoucím nekolejovým vozidlem,Nedání přednosti v jizdě,Řidičem motorového vozidla,8/7/2018,Úterý,Noc,Nezjišťováno,0,0,0,"Suchý, neznečištěný",Neztížené,Žádné,"Nezjištěno, řidič ujel",Ne,0,16.6871156760001,49.2071916940001,1857601.2198607814,6310090.893504274
2753,"Srážka s vozidlem zaparkovaným, odstaveným",Nesprávný způsob jízdy,Řidičem motorového vozidla,7/27/2018,Pátek,Noc,Nezjišťováno,0,0,0,"Suchý, neznečištěný",Neztížené,Přechod pro chodce nebo v jeho blízkosti,"Nezjištěno, řidič ujel",Ne,0,16.649032688,49.196029132,1853361.8410287306,6308189.13041095
2754,Srážka s pevnou překážkou,Nesprávný způsob jízdy,Řidičem motorového vozidla,7/31/2018,Úterý,Den,Nezjišťováno,0,0,0,"Suchý, neznečištěný",Neztížené,Žádné,Nákladní automobil,Ne,1000,16.607584678,49.1963491400001,1848747.869661135,6308243.64412347
2756,Srážka s jedoucím nekolejovým vozidlem,Nesprávný způsob jízdy,Řidičem motorového vozidla,8/6/2018,Pondělí,Den,Nezjišťováno,0,0,0,"Suchý, neznečištěný",Neztížené,Zastávka MHD,Osobní automobil,Ne,0,16.609302686,49.2089107830001,1848939.1174368747,6310383.812447513
2759,Srážka s jedoucím nekolejovým vozidlem,Nesprávný způsob jízdy,Řidičem motorového vozidla,8/8/2018,Středa,Den,Ne,0,0,2,"Suchý, neznečištěný",Neztížené,Žádné,Osobní automobil,Ne,90000,16.6392786870001,49.213113988,1852276.0306042163,6311100.0476810075
2761,Srážka s pevnou překážkou,Nepřiměřená rychlost jízdy,Řidičem motorového vozidla,8/9/2018,Čtvrtek,Noc,Ne,0,0,0,"Suchý, znečištěný (písek, prach, štěrk, atd.)",Neztížené,Žádné,Motocykl,Ne,10000,16.6993006860001,49.204950582,1858957.648969292,6309709.041331567
