OBJECTID,ID,Datum,Den,Day,DenNoc,DayNight,DruhNehody,Type,Zavineni,CausedBy,Alkohol,Alcohol,HlavniPricina,MainCause,Usmrceno,Tezce,Lehce,DeathToll,HeavyInjuries,LightInjuries,StavPovrchu,RoadCondition,Pocasi,Weather,SpecifikaceMista,PlaceSituation,DruhVozidla,VehicleType,Smyk,Skyd,Skoda,X,Y,x2,y2
3129,60206181892,10/6/2018 12:00:00 AM,Sobota,Saturday,Noc,Night,"Srážka s vozidlem zaparkovaným, odstaveným",Collision with a parked vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.61745168,49.2058266220001,16.61745168,49.2058266220001
3130,60206181893,10/7/2018 12:00:00 AM,Neděle,Sunday,Noc,Night,"Srážka s vozidlem zaparkovaným, odstaveným",Collision with a parked vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Přechod pro chodce nebo v jeho blízkosti,Pedestrian crossing or nearby,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.619013683,49.190086814,16.619013683,49.190086814
3131,60206181894,10/7/2018 12:00:00 AM,Neděle,Sunday,Den,Day,Havárie,Crash,Řidičem motorového vozidla,Car driver,Ne,No,Nepřiměřená rychlost jízdy,Inappropriate speed,0,0,1,0,0,1,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Přechod pro chodce nebo v jeho blízkosti,Pedestrian crossing or nearby,Moped,Moped,Ne,No,5000,16.531402687,49.2243625230001,16.531402687,49.2243625230001
3132,60206181895,10/8/2018 12:00:00 AM,Pondělí,Monday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nedání přednosti v jizdě,Not respecting the right of way,0,0,1,0,0,1,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,20000,16.6744586770001,49.182988444,16.6744586770001,49.182988444
3133,60206181896,10/8/2018 12:00:00 AM,Pondělí,Monday,Noc,Night,"Srážka s vozidlem zaparkovaným, odstaveným",Collision with a parked vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.5944066760001,49.2121439410001,16.5944066760001,49.2121439410001
3134,60206181897,10/8/2018 12:00:00 AM,Pondělí,Monday,Noc,Night,"Srážka s vozidlem zaparkovaným, odstaveným",Collision with a parked vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Výjezd z parkoviště,Exit from car park,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.5918096820001,49.208492757,16.5918096820001,49.208492757
3135,60206181898,10/8/2018 12:00:00 AM,Pondělí,Monday,Den,Day,Jiný druh nehody,Other,Řidičem motorového vozidla,Car driver,Ne,No,Nepřiměřená rychlost jízdy,Inappropriate speed,0,0,2,0,0,2,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Autobus,Bus,Ne,No,0,16.5530736870001,49.1726048680001,16.5530736870001,49.1726048680001
3136,60206181899,10/8/2018 12:00:00 AM,Pondělí,Monday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,1,0,0,1,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,"Most, nadjezd, podjezd, tunel","Bridge, overpass, underpass, tunel ",Osobní automobil,Car,Ne,No,50000,16.593169677,49.2329269160001,16.593169677,49.232926916
3137,60206181900,10/8/2018 12:00:00 AM,Pondělí,Monday,Noc,Night,"Srážka s vozidlem zaparkovaným, odstaveným",Collision with a parked vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, znečištěný (písek, prach, štěrk, atd.)",Dry and dirty,Neztížené,Clear,Žádné,None,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.590922689,49.2092817980001,16.590922689,49.209281798
3138,60206181901,10/9/2018 12:00:00 AM,Úterý,Tuesday,Noc,Night,"Srážka s vozidlem zaparkovaným, odstaveným",Collision with a parked vehicle,Řidičem motorového vozidla,Car driver,Pod vlivem alkoholu,Under the influence of alcohol,Nepřiměřená rychlost jízdy,Inappropriate speed,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Přechod pro chodce nebo v jeho blízkosti,Pedestrian crossing or nearby,Osobní automobil,Car,Ne,No,30000,16.6868396840001,49.207986733,16.6868396840001,49.207986733
3139,60206181902,10/9/2018 12:00:00 AM,Úterý,Tuesday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,1,0,0,1,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Motocykl,Motorbike,Ne,No,20000,16.686993682,49.1844185160001,16.686993682,49.184418516
3140,60206181903,10/9/2018 12:00:00 AM,Úterý,Tuesday,Den,Day,"Srážka s vozidlem zaparkovaným, odstaveným",Collision with a parked vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Přechod pro chodce nebo v jeho blízkosti,Pedestrian crossing or nearby,Osobní automobil,Car,Ne,No,0,16.6914536850001,49.182850434,16.6914536850001,49.182850434
3141,60206181904,10/9/2018 12:00:00 AM,Úterý,Tuesday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nedání přednosti v jizdě,Not respecting the right of way,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Čerpadlo pohonných hmot,Gas station,Osobní automobil,Car,Ne,No,30000,16.6289516790001,49.154240815,16.6289516790001,49.154240815
3142,60206181905,10/8/2018 12:00:00 AM,Pondělí,Monday,Noc,Night,"Srážka s vozidlem zaparkovaným, odstaveným",Collision with a parked vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,1000,16.5981886870001,49.17595106,16.5981886870001,49.17595106
3143,60206181906,10/9/2018 12:00:00 AM,Úterý,Tuesday,Den,Day,"Srážka s vozidlem zaparkovaným, odstaveným",Collision with a parked vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Přechod pro chodce nebo v jeho blízkosti,Pedestrian crossing or nearby,Osobní automobil,Car,Ne,No,0,16.6017966810001,49.1806173150001,16.6017966810001,49.1806173150001
3144,60206181907,10/2/2018 12:00:00 AM,Úterý,Tuesday,Noc,Night,"Srážka s vozidlem zaparkovaným, odstaveným",Collision with a parked vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Výjezd z parkoviště,Exit from car park,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.611133314,49.18938323,16.611133314,49.18938323
3145,60206181908,10/9/2018 12:00:00 AM,Úterý,Tuesday,Den,Day,Jiný druh nehody,Other,Závadou komunikace,Road defect,Nezjišťováno,Not tested,Nezaviněná řidičem,Not caused by driver,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,12000,16.601747677,49.1848925410001,16.601747677,49.1848925410001
3146,60206181909,10/9/2018 12:00:00 AM,Úterý,Tuesday,Den,Day,Srážka s chodcem,Collision with pedestrian,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,1,0,0,1,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,0,16.633246682,49.2030154820001,16.633246682,49.2030154820001
3147,60206181910,10/9/2018 12:00:00 AM,Úterý,Tuesday,Noc,Night,"Srážka s vozidlem zaparkovaným, odstaveným",Collision with a parked vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Přechod pro chodce nebo v jeho blízkosti,Pedestrian crossing or nearby,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.583785688,49.2381061520001,16.583785688,49.2381061520001
3148,60206181911,9/26/2018 12:00:00 AM,Středa,Wednesday,Noc,Night,"Srážka s vozidlem zaparkovaným, odstaveným",Collision with a parked vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Přechod pro chodce nebo v jeho blízkosti,Pedestrian crossing or nearby,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.6166146850001,49.19072385,16.6166146850001,49.19072385
3149,60206181912,10/10/2018 12:00:00 AM,Středa,Wednesday,Noc,Night,"Srážka s vozidlem zaparkovaným, odstaveným",Collision with a parked vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.621782689,49.1937210080001,16.621782689,49.1937210080001
