OBJECTID,ID,Datum,Den,Day,DenNoc,DayNight,DruhNehody,Type,Zavineni,CausedBy,Alkohol,Alcohol,HlavniPricina,MainCause,Usmrceno,Tezce,Lehce,DeathToll,HeavyInjuries,LightInjuries,StavPovrchu,RoadCondition,Pocasi,Weather,SpecifikaceMista,PlaceSituation,DruhVozidla,VehicleType,Smyk,Skyd,Skoda,X,Y,x2,y2
5697,60406180500,10/31/2018 12:00:00 AM,Středa,Wednesday,Den,Day,Srážka s lesní zvěří,Collision with wildlife animals,"Lesní zvěří, domácim zvířetem","Wildlife animal, pet",Nezjišťováno,Not tested,Nezaviněná řidičem,Not caused by driver,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,10000,16.738391689,49.0007317810001,16.738391689,49.0007317810001
5698,60406180501,11/1/2018 12:00:00 AM,Čtvrtek,Thursday,Den,Day,Srážka s lesní zvěří,Collision with wildlife animals,"Lesní zvěří, domácim zvířetem","Wildlife animal, pet",Nezjišťováno,Not tested,Nezaviněná řidičem,Not caused by driver,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,30000,16.970761677,48.799814262,16.970761677,48.799814262
5699,60406180502,11/2/2018 12:00:00 AM,Pátek,Friday,Den,Day,Srážka s lesní zvěří,Collision with wildlife animals,"Lesní zvěří, domácim zvířetem","Wildlife animal, pet",Nezjišťováno,Not tested,Nezaviněná řidičem,Not caused by driver,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,20000,16.833772686,48.8982721770001,16.833772686,48.8982721770001
5700,60406180503,11/2/2018 12:00:00 AM,Pátek,Friday,Noc,Night,Srážka s lesní zvěří,Collision with wildlife animals,"Lesní zvěří, domácim zvířetem","Wildlife animal, pet",Nezjišťováno,Not tested,Nezaviněná řidičem,Not caused by driver,0,0,0,0,0,0,Mokrý,Wet,Déšť,Raining,Žádné,None,Osobní automobil,Car,Ne,No,40000,16.8346972250001,48.753642476,16.8346972250001,48.753642476
5701,60406180504,11/3/2018 12:00:00 AM,Sobota,Saturday,Den,Day,Havárie,Crash,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nepřiměřená rychlost jízdy,Inappropriate speed,0,0,1,0,0,1,Mokrý,Wet,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ano,Yes,130000,16.8035966850001,49.0289291110001,16.8035966850001,49.0289291110001
5702,60406180505,11/3/2018 12:00:00 AM,Sobota,Saturday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nepřiměřená rychlost jízdy,Inappropriate speed,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ano,Yes,50000,16.500882695,48.8859459020001,16.500882695,48.8859459020001
5703,60406180506,11/4/2018 12:00:00 AM,Neděle,Sunday,Noc,Night,Srážka s domácim zvířetem,Collision with a pet,"Lesní zvěří, domácim zvířetem","Wildlife animal, pet",Nezjišťováno,Not tested,Nezaviněná řidičem,Not caused by driver,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,30000,16.9465786850001,48.7862146210001,16.9465786850001,48.786214621
5704,60406180507,11/6/2018 12:00:00 AM,Úterý,Tuesday,Den,Day,Srážka s chodcem,Collision with pedestrian,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,1,0,0,1,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Přechod pro chodce nebo v jeho blízkosti,Pedestrian crossing or nearby,Osobní automobil,Car,Ne,No,2000,16.882504817,48.753159662,16.882504817,48.753159662
5705,60406180508,11/6/2018 12:00:00 AM,Úterý,Tuesday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,2,0,0,2,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,30000,16.897813679,48.777637575,16.897813679,48.777637575
5706,60406180509,11/7/2018 12:00:00 AM,Středa,Wednesday,Den,Day,Srážka s lesní zvěří,Collision with wildlife animals,"Lesní zvěří, domácim zvířetem","Wildlife animal, pet",Nezjišťováno,Not tested,Nezaviněná řidičem,Not caused by driver,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,10000,16.9672170960001,48.771153645,16.9672170960001,48.771153645
5707,60406180510,11/7/2018 12:00:00 AM,Středa,Wednesday,Den,Day,Srážka s lesní zvěří,Collision with wildlife animals,"Lesní zvěří, domácim zvířetem","Wildlife animal, pet",Nezjišťováno,Not tested,Nezaviněná řidičem,Not caused by driver,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,10000,16.8339976820001,48.8983151830001,16.8339976820001,48.8983151830001
5708,60406180511,11/8/2018 12:00:00 AM,Čtvrtek,Thursday,Noc,Night,"Srážka s vozidlem zaparkovaným, odstaveným",Collision with a parked vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Přechod pro chodce nebo v jeho blízkosti,Pedestrian crossing or nearby,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.8832696810001,48.7521993840001,16.8832696810001,48.7521993840001
5709,60406180512,9/24/2018 12:00:00 AM,Pondělí,Monday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Autobus,Bus,Ne,No,15000,16.493675968,48.8118557340001,16.493675968,48.811855734
5710,60406180513,11/9/2018 12:00:00 AM,Pátek,Friday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nedání přednosti v jizdě,Not respecting the right of way,0,0,1,0,0,1,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Přechod pro chodce nebo v jeho blízkosti,Pedestrian crossing or nearby,Osobní automobil,Car,Ne,No,0,16.886352882,48.7577537080001,16.886352882,48.7577537080001
5711,60406180514,11/9/2018 12:00:00 AM,Pátek,Friday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem nemotorového vozidla,Non-motorized vehicle driver,Pod vlivem alkoholu,Under the influence of alcohol,Nedání přednosti v jizdě,Not respecting the right of way,0,0,1,0,0,1,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Jízdní kolo,Bicycle,Ne,No,2000,16.735105506,48.9415972740001,16.735105506,48.9415972740001
5712,60406180515,11/10/2018 12:00:00 AM,Sobota,Saturday,Den,Day,Srážka s lesní zvěří,Collision with wildlife animals,"Lesní zvěří, domácim zvířetem","Wildlife animal, pet",Nezjišťováno,Not tested,Nezaviněná řidičem,Not caused by driver,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,40000,16.7010076760001,48.9969764640001,16.7010076760001,48.9969764640001
5713,60406180516,11/11/2018 12:00:00 AM,Neděle,Sunday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.8815856840001,48.7530504960001,16.8815856840001,48.7530504960001
5714,60406180517,11/11/2018 12:00:00 AM,Neděle,Sunday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem nemotorového vozidla,Non-motorized vehicle driver,Pod vlivem alkoholu,Under the influence of alcohol,Nesprávný způsob jízdy,Inappropriate driving,0,0,1,0,0,1,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Jízdní kolo,Bicycle,Ne,No,2000,16.888251686,48.748884967,16.888251686,48.748884967
5715,60406180518,11/11/2018 12:00:00 AM,Neděle,Sunday,Den,Day,Havárie,Crash,Řidičem motorového vozidla,Car driver,Pod vlivem alkoholu,Under the influence of alcohol,Nepřiměřená rychlost jízdy,Inappropriate speed,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,10000,17.0036034780001,48.7731877370001,17.0036034780001,48.7731877370001
5716,60406180519,11/13/2018 12:00:00 AM,Úterý,Tuesday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Mlha,Fog,Žádné,None,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.7528036890001,48.9519854330001,16.7528036890001,48.9519854330001
5717,60406180520,11/13/2018 12:00:00 AM,Úterý,Tuesday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Zastávka MHD,Public transport stop,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.8912226750001,48.7728389760001,16.8912226750001,48.7728389760001
5718,60406180521,11/12/2018 12:00:00 AM,Pondělí,Monday,Noc,Night,"Srážka s vozidlem zaparkovaným, odstaveným",Collision with a parked vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.848719358,48.759038532,16.848719358,48.759038532
5719,60406180522,11/14/2018 12:00:00 AM,Středa,Wednesday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,1,0,0,1,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,30000,16.9036856870001,48.779857844,16.9036856870001,48.779857844
5720,60406180523,11/14/2018 12:00:00 AM,Středa,Wednesday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Pod vlivem alkoholu,Under the influence of alcohol,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Přechod pro chodce nebo v jeho blízkosti,Pedestrian crossing or nearby,Osobní automobil,Car,Ne,No,30000,16.889872683,48.755788841,16.889872683,48.755788841
5721,60406180524,11/15/2018 12:00:00 AM,Čtvrtek,Thursday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nedání přednosti v jizdě,Not respecting the right of way,0,0,1,0,0,1,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Přechod pro chodce nebo v jeho blízkosti,Pedestrian crossing or nearby,Osobní automobil,Car,Ne,No,20000,16.8822001940001,48.7613196240001,16.8822001940001,48.7613196240001
5722,60406180525,11/16/2018 12:00:00 AM,Pátek,Friday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nedání přednosti v jizdě,Not respecting the right of way,0,0,1,0,0,1,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,4000,16.897465681,48.7775585640001,16.897465681,48.777558564
5723,60406180526,11/16/2018 12:00:00 AM,Pátek,Friday,Den,Day,Srážka s lesní zvěří,Collision with wildlife animals,"Lesní zvěří, domácim zvířetem","Wildlife animal, pet",Nezjišťováno,Not tested,Nezaviněná řidičem,Not caused by driver,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,5000,16.742427681,48.999778705,16.742427681,48.999778705
5724,60406180527,11/17/2018 12:00:00 AM,Sobota,Saturday,Noc,Night,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,1,0,0,1,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,50000,16.8335664730001,48.8705707440001,16.8335664730001,48.8705707440001
5725,60406180528,11/17/2018 12:00:00 AM,Sobota,Saturday,Den,Day,Srážka s lesní zvěří,Collision with wildlife animals,"Lesní zvěří, domácim zvířetem","Wildlife animal, pet",Nezjišťováno,Not tested,Nezaviněná řidičem,Not caused by driver,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,50000,16.498260687,48.8832946250001,16.498260687,48.8832946250001
5726,60406180529,11/17/2018 12:00:00 AM,Sobota,Saturday,Noc,Night,"Srážka s vozidlem zaparkovaným, odstaveným",Collision with a parked vehicle,Řidičem motorového vozidla,Car driver,Pod vlivem alkoholu,Under the influence of alcohol,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,5000,16.984074677,48.694507748,16.984074677,48.694507748
5727,60406180530,11/18/2018 12:00:00 AM,Neděle,Sunday,Den,Day,Jiný druh nehody,Other,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Traktor,Tractor,Ne,No,0,16.659462681,48.9269560430001,16.659462681,48.9269560430001
5728,60406180531,11/19/2018 12:00:00 AM,Pondělí,Monday,Den,Day,Havárie,Crash,Řidičem motorového vozidla,Car driver,Ne,No,Nepřiměřená rychlost jízdy,Inappropriate speed,0,0,2,0,0,2,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,30000,16.6821738200001,48.9959257240001,16.6821738200001,48.9959257240001
5729,60406180532,11/20/2018 12:00:00 AM,Úterý,Tuesday,Den,Day,Srážka s lesní zvěří,Collision with wildlife animals,"Lesní zvěří, domácim zvířetem","Wildlife animal, pet",Nezjišťováno,Not tested,Nezaviněná řidičem,Not caused by driver,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,5000,16.7780936830001,48.9303323760001,16.7780936830001,48.9303323760001
5730,60406180533,11/20/2018 12:00:00 AM,Úterý,Tuesday,Den,Day,Srážka s lesní zvěří,Collision with wildlife animals,"Lesní zvěří, domácim zvířetem","Wildlife animal, pet",Nezjišťováno,Not tested,Nezaviněná řidičem,Not caused by driver,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,30000,16.749422687,48.9489571500001,16.749422687,48.9489571500001
5731,60406180534,11/19/2018 12:00:00 AM,Pondělí,Monday,Noc,Night,"Srážka s vozidlem zaparkovaným, odstaveným",Collision with a parked vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.8779026880001,48.7549727370001,16.8779026880001,48.7549727370001
5732,60406180535,11/20/2018 12:00:00 AM,Úterý,Tuesday,Den,Day,Srážka s lesní zvěří,Collision with wildlife animals,"Lesní zvěří, domácim zvířetem","Wildlife animal, pet",Nezjišťováno,Not tested,Nezaviněná řidičem,Not caused by driver,0,0,0,0,0,0,Mokrý,Wet,Sněžení,Snowing,Žádné,None,Nákladní automobil,Truck,Ne,No,10000,17.020820674,48.814850038,17.020820674,48.814850038
5733,60406180536,11/21/2018 12:00:00 AM,Středa,Wednesday,Den,Day,Srážka s lesní zvěří,Collision with wildlife animals,"Lesní zvěří, domácim zvířetem","Wildlife animal, pet",Nezjišťováno,Not tested,Nezaviněná řidičem,Not caused by driver,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,5000,16.9542386800001,48.7761813920001,16.9542386800001,48.776181392
5734,60406180537,11/22/2018 12:00:00 AM,Čtvrtek,Thursday,Noc,Night,Srážka s lesní zvěří,Collision with wildlife animals,"Lesní zvěří, domácim zvířetem","Wildlife animal, pet",Nezjišťováno,Not tested,Nezaviněná řidičem,Not caused by driver,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,10000,16.901797677,48.785258501,16.901797677,48.785258501
5735,60406180538,11/22/2018 12:00:00 AM,Čtvrtek,Thursday,Den,Day,Srážka s lesní zvěří,Collision with wildlife animals,"Lesní zvěří, domácim zvířetem","Wildlife animal, pet",Nezjišťováno,Not tested,Nezaviněná řidičem,Not caused by driver,0,0,0,0,0,0,Mokrý,Wet,Mlha,Fog,Žádné,None,Osobní automobil,Car,Ne,No,10000,16.454567691,48.869107114,16.454567691,48.869107114
5736,60406180539,11/22/2018 12:00:00 AM,Čtvrtek,Thursday,Den,Day,Srážka s lesní zvěří,Collision with wildlife animals,"Lesní zvěří, domácim zvířetem","Wildlife animal, pet",Nezjišťováno,Not tested,Nezaviněná řidičem,Not caused by driver,0,0,0,0,0,0,Mokrý,Wet,Slabý déšť,Light Raining,Žádné,None,Osobní automobil,Car,Ne,No,10000,16.8949847430001,48.924128533,16.8949847430001,48.924128533
5737,60406180540,11/23/2018 12:00:00 AM,Pátek,Friday,Den,Day,Srážka s lesní zvěří,Collision with wildlife animals,"Lesní zvěří, domácim zvířetem","Wildlife animal, pet",Nezjišťováno,Not tested,Nezaviněná řidičem,Not caused by driver,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,15000,16.88704835,48.8083615520001,16.88704835,48.8083615520001
5738,60406180541,11/24/2018 12:00:00 AM,Sobota,Saturday,Den,Day,Srážka s lesní zvěří,Collision with wildlife animals,"Lesní zvěří, domácim zvířetem","Wildlife animal, pet",Nezjišťováno,Not tested,Nezaviněná řidičem,Not caused by driver,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,30000,16.938741684,48.7487049360001,16.938741684,48.7487049360001
5739,60406180542,11/25/2018 12:00:00 AM,Neděle,Sunday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Ne,No,Nepřiměřená rychlost jízdy,Inappropriate speed,0,0,2,0,0,2,Mokrý,Wet,Slabý déšť,Light Raining,Žádné,None,Osobní automobil,Car,Ano,Yes,60000,16.8034726760001,49.029032122,16.8034726760001,49.029032122
5740,60406180543,11/25/2018 12:00:00 AM,Neděle,Sunday,Den,Day,Srážka s lesní zvěří,Collision with wildlife animals,"Lesní zvěří, domácim zvířetem","Wildlife animal, pet",Nezjišťováno,Not tested,Nezaviněná řidičem,Not caused by driver,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,30000,17.0004979130001,48.7691886600001,17.0004979130001,48.76918866
5741,60406180544,11/25/2018 12:00:00 AM,Neděle,Sunday,Den,Day,Srážka s lesní zvěří,Collision with wildlife animals,"Lesní zvěří, domácim zvířetem","Wildlife animal, pet",Nezjišťováno,Not tested,Nezaviněná řidičem,Not caused by driver,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,20000,16.8750106750001,48.8188594970001,16.8750106750001,48.8188594970001
5742,60406180545,11/26/2018 12:00:00 AM,Pondělí,Monday,Den,Day,"Srážka s vozidlem zaparkovaným, odstaveným",Collision with a parked vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.888115682,48.756569938,16.888115682,48.756569938
5743,60406180546,11/26/2018 12:00:00 AM,Pondělí,Monday,Den,Day,Srážka s lesní zvěří,Collision with wildlife animals,"Lesní zvěří, domácim zvířetem","Wildlife animal, pet",Nezjišťováno,Not tested,Nezaviněná řidičem,Not caused by driver,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,15000,16.750671912,48.878924,16.750671912,48.878924
5744,60406180547,11/26/2018 12:00:00 AM,Pondělí,Monday,Den,Day,Srážka s lesní zvěří,Collision with wildlife animals,"Lesní zvěří, domácim zvířetem","Wildlife animal, pet",Nezjišťováno,Not tested,Nezaviněná řidičem,Not caused by driver,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,10000,16.776466627,48.7662366370001,16.776466627,48.7662366370001
5745,60406180548,11/28/2018 12:00:00 AM,Středa,Wednesday,Den,Day,Srážka s lesní zvěří,Collision with wildlife animals,"Lesní zvěří, domácim zvířetem","Wildlife animal, pet",Nezjišťováno,Not tested,Nezaviněná řidičem,Not caused by driver,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,10000,16.785222688,48.8544015210001,16.785222688,48.8544015210001
5746,60406180549,11/29/2018 12:00:00 AM,Čtvrtek,Thursday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,1,0,0,1,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,20000,16.71581768,48.99781353,16.71581768,48.99781353
5747,60406180550,11/26/2018 12:00:00 AM,Pondělí,Monday,Noc,Night,"Srážka s vozidlem zaparkovaným, odstaveným",Collision with a parked vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,17.025562253,48.7993033390001,17.025562253,48.7993033390001
5748,60406180551,11/29/2018 12:00:00 AM,Čtvrtek,Thursday,Den,Day,Srážka s lesní zvěří,Collision with wildlife animals,"Lesní zvěří, domácim zvířetem","Wildlife animal, pet",Nezjišťováno,Not tested,Nezaviněná řidičem,Not caused by driver,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,50000,16.91593168,48.950936341,16.91593168,48.950936341
5749,60406180552,12/1/2018 12:00:00 AM,Sobota,Saturday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Ne,No,Nepřiměřená rychlost jízdy,Inappropriate speed,0,0,1,0,0,1,Rozbředlý sníh,Slushy snow,Sněžení,Snowing,Žádné,None,Osobní automobil,Car,Ano,Yes,70000,16.8300728560001,48.8735802420001,16.8300728560001,48.8735802420001
5750,60406180553,12/1/2018 12:00:00 AM,Sobota,Saturday,Den,Day,"Srážka s vozidlem zaparkovaným, odstaveným",Collision with a parked vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nepřiměřená rychlost jízdy,Inappropriate speed,0,0,0,0,0,0,Rozbředlý sníh,Slushy snow,Sněžení,Snowing,Žádné,None,Nákladní automobil,Truck,Ne,No,1000,16.7274066790001,48.9476950370001,16.7274066790001,48.9476950370001
5751,60406180554,12/2/2018 12:00:00 AM,Neděle,Sunday,Noc,Night,Srážka s lesní zvěří,Collision with wildlife animals,"Lesní zvěří, domácim zvířetem","Wildlife animal, pet",Nezjišťováno,Not tested,Nezaviněná řidičem,Not caused by driver,0,0,0,0,0,0,Mokrý,Wet,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,10000,16.966803672,48.798014046,16.966803672,48.798014046
5752,60406180555,12/1/2018 12:00:00 AM,Sobota,Saturday,Noc,Night,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nepřiměřená rychlost jízdy,Inappropriate speed,0,0,0,0,0,0,"Náledí, ujetý sníh - posypané","Ice, snow - grit",Slabý déšť,Light Raining,Žádné,None,Osobní automobil,Car,Ne,No,50000,16.7540986870001,48.969662059,16.7540986870001,48.969662059
5753,60406180556,12/3/2018 12:00:00 AM,Pondělí,Monday,Noc,Night,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,Mokrý,Wet,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,3000,16.8890636780001,48.7723329130001,16.8890636780001,48.7723329130001
5754,60406180557,12/3/2018 12:00:00 AM,Pondělí,Monday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nedání přednosti v jizdě,Not respecting the right of way,0,0,0,0,0,0,Mokrý,Wet,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,15000,16.891224429,48.7712751230001,16.891224429,48.7712751230001
5755,60406180558,12/4/2018 12:00:00 AM,Úterý,Tuesday,Noc,Night,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nedání přednosti v jizdě,Not respecting the right of way,0,0,4,0,0,4,Mokrý,Wet,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,180000,16.9260756800001,48.7835722980001,16.9260756800001,48.7835722980001
5756,60406180559,12/4/2018 12:00:00 AM,Úterý,Tuesday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nedání přednosti v jizdě,Not respecting the right of way,0,0,0,0,0,0,Mokrý,Wet,Slabý déšť,Light Raining,Žádné,None,Osobní automobil,Car,Ne,No,20000,16.875720675,48.802890629,16.875720675,48.802890629
5757,60406180560,12/5/2018 12:00:00 AM,Středa,Wednesday,Den,Day,Havárie,Crash,Řidičem motorového vozidla,Car driver,Ne,No,Nepřiměřená rychlost jízdy,Inappropriate speed,0,0,1,0,0,1,"Náledí, ujetý sníh - neposypané","Ice, snow - no grit",Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ano,Yes,90000,16.708930685,48.9970094650001,16.708930685,48.9970094650001
